ID_ALUNO,IDADE,ANO_INGRESSO,FORMA_INGRESSO,ANO_EVASAO,FORMA_EVASAO,NATURALIDADE,ETNIA,DEFICIENCIAS,COTAS,BOLSA
FD00972962A2199DAD9533366040FE2B,19-25 anos,2015,Processo Seletivo - SiSU,2015,Desistencia,Rio Branco-AC,Branca,Sem Deficiencia,"Candidatos de Escola Publica Independente de Renda (Pretos, Pardos e Indigenas)",Não Possuia
FD16DB024F69543B75906B5B0A85C093,19-25 anos,2014,Processo Seletivo - SiSU,2019,Formado,Rio Branco-AC,Branca,Sem Deficiencia,"Vagas destinadas aos pretos, pardos e indigenas independente de renda",Não Possuia
FDD690EA1E6C2EF677CD9E7DE431C262,Menos de 19 anos,2023,Processo Seletivo - SiSU,,Sem Evasao,Rio Branco-AC,Branca,Sem Deficiencia,Ampla Concorrencia,Não Possuia
FE70CD58C246614FA28EAFC8570F1D81,Menos de 19 anos,2021,Processo Seletivo - SiSU,,Sem Evasao,Rio Branco-AC,Branca,Sem Deficiencia,Ampla Concorrencia,Não Possuia
FE7F7A0A7E51EF3F523048E2AC5E24C7,26-35 anos,2010,Vestibular,2012,Jubilamento,Campinas-SP,Branca,Sem Deficiencia,Ampla Concorrencia,Não Possuia
FEA68355A2B250EB95468FB15C087D8C,Menos de 19 anos,2010,Vestibular,2018,Formado,Rio Branco-AC,Branca,Sem Deficiencia,Ampla Concorrencia,Possuia
FF19AAAEC6A0EA4ED365576F4902CEFA,Acima de 35 anos,2014,Processo Seletivo - SiSU,2016,Jubilamento,Rio Branco-AC,Branca,Sem Deficiencia,Ampla Concorrencia,Não Possuia
FF41E552DBA792C96FCAFEB701076AED,Menos de 19 anos,2010,Vestibular,2013,Desistencia,Rio Branco-AC,Branca,Sem Deficiencia,Ampla Concorrencia,Não Possuia
FF43B070C8414D626834560097A519E1,Menos de 19 anos,2022,Processo Seletivo - SiSU,,Sem Evasao,Rio Branco-AC,Preta,Sem Deficiencia,Ampla Concorrencia,Não Possuia
FF51FB7A9BCB22C595616B4FA368880A,Menos de 19 anos,2014,Processo Seletivo - SiSU,2016,Desistencia,Rio Branco-AC,Parda,Sem Deficiencia,Ampla Concorrencia,Possuia
FFBAB8235DDC5C0290ECD6CECCC0A61A,Menos de 19 anos,2015,Processo Seletivo - SiSU,2022,Jubilamento,Rio Branco-AC,Branca,Sem Deficiencia,Geral,Não Possuia
FFF574293A6252F4029A9413F364B2E6,Menos de 19 anos,2012,Enem,2014,Desistencia,Rio Branco-AC,Nao Declarada,Sem Deficiencia,Ampla Concorrencia,Possuia
