ESTADO_CIVIL,IDADE,FORMA_INGRESSO,FORMA_EVASAO,ETNIA,DEFICIENCIAS,COTAS,NOME_DISCIPLINA,SITUACAO_DISCIPLINA,MEDIA_FINAL,FALTAS,BOLSA
Solteiro(a),Menos de 19 anos,Vestibular,Desistencia,Nao Declarada,Sem Deficiencia,Ampla Concorrencia,Topicos Especiais em Sistemas de Informacao I,Trancamento Parcial,Nao informado,0-5%,Possuia
Solteiro(a),Menos de 19 anos,Vestibular,Desistencia,Nao Declarada,Sem Deficiencia,Ampla Concorrencia,Pesquisa Operacional,Reprovado por Frequencia,0-5,Acima de 25%,Possuia
Solteiro(a),Menos de 19 anos,Vestibular,Desistencia,Nao Declarada,Sem Deficiencia,Ampla Concorrencia,Comunicacao e Redes de Computadores,Reprovado,0-5,15-20%,Possuia
Solteiro(a),Menos de 19 anos,Vestibular,Desistencia,Nao Declarada,Sem Deficiencia,Ampla Concorrencia,Contabilidade e Custos,Aprovado,5-8,0-5%,Possuia
Solteiro(a),Menos de 19 anos,Vestibular,Desistencia,Nao Declarada,Sem Deficiencia,Ampla Concorrencia,Comunicacao e Redes de Computadores,Reprovado,0-5,20-25%,Nao Possuia
Solteiro(a),Menos de 19 anos,Vestibular,Desistencia,Nao Declarada,Sem Deficiencia,Ampla Concorrencia,Pesquisa Operacional,Reprovado,0-5,20-25%,Nao Possuia
Solteiro(a),Menos de 19 anos,Vestibular,Desistencia,Nao Declarada,Sem Deficiencia,Ampla Concorrencia,Fundamentos da Computacao,Aprovado,5-8,10-15%,Nao Possuia
Solteiro(a),Menos de 19 anos,Vestibular,Desistencia,Nao Declarada,Sem Deficiencia,Ampla Concorrencia,Topicos Especiais em Sistemas de Informacao I,Aprovado,5-8,0-5%,Nao Possuia
Solteiro(a),Menos de 19 anos,Vestibular,Desistencia,Nao Declarada,Sem Deficiencia,Ampla Concorrencia,Pesquisa Operacional,Reprovado por Frequencia,0-5,Acima de 25%,Nao Possuia
Solteiro(a),Menos de 19 anos,Vestibular,Desistencia,Nao Declarada,Sem Deficiencia,Ampla Concorrencia,Comunicacao e Redes de Computadores,Aprovado,5-8,0-5%,Nao Possuia
Solteiro(a),Menos de 19 anos,Vestibular,Desistencia,Nao Declarada,Sem Deficiencia,Ampla Concorrencia,Pesquisa Operacional,Reprovado por Frequencia,0-5,Acima de 25%,Nao Possuia
