ESTADO_CIVIL,IDADE,FORMA_INGRESSO,FORMA_EVASAO,ETNIA,DEFICIENCIAS,COTAS,NOME_DISCIPLINA,SITUACAO_DISCIPLINA,MEDIA_FINAL,FALTAS,BOLSA
Solteiro(a),Acima de 35 anos,Processo Seletivo - SiSU,Jubilamento,Parda,Sem Deficiencia,"Vagas destinadas aos pretos, pardos e indigenas de baixa renda",Topicos de Calculo II,Aprovado,5-8,0-5%,Nao Possuia
Solteiro(a),Menos de 19 anos,Processo Seletivo - SiSU,Desistencia,Parda,Sem Deficiencia,"Vagas destinadas aos pretos, pardos e indigenas de baixa renda",Marketing,Reprovado por Frequencia,0-5,Acima de 25%,Nao Possuia
Solteiro(a),Menos de 19 anos,Processo Seletivo - SiSU,Desistencia,Parda,Sem Deficiencia,"Vagas destinadas aos pretos, pardos e indigenas de baixa renda",Economia e Financas,Reprovado sem nota,Nao informado,0-5%,Nao Possuia
Uniao Estavel,26-35 anos,Processo Seletivo - SiSU,Jubilamento,Parda,Sem Deficiencia,"Vagas destinadas aos pretos, pardos e indigenas de baixa renda",Economia e Financas,Reprovado,0-5,0-5%,Nao Possuia
Uniao Estavel,26-35 anos,Processo Seletivo - SiSU,Jubilamento,Parda,Sem Deficiencia,"Vagas destinadas aos pretos, pardos e indigenas de baixa renda",Arquitetura e Organizacao de Computador,Reprovado por Frequencia,0-5,Acima de 25%,Nao Possuia
Solteiro(a),19-25 anos,Processo Seletivo - SiSU,Formado,Parda,Fisica,Vagas destinadas aos candidatos deficientes,Linguagem de Programacao I,Aprovado,8-10,0-5%,Nao Possuia
Solteiro(a),19-25 anos,Processo Seletivo - SiSU,Formado,Parda,Fisica,Vagas destinadas aos candidatos deficientes,Arquitetura e Organizacao de Computador,Aprovado,5-8,0-5%,Nao Possuia
Solteiro(a),19-25 anos,Processo Seletivo - SiSU,Formado,Parda,Fisica,Vagas destinadas aos candidatos deficientes,Economia e Financas,Aprovado,8-10,0-5%,Nao Possuia
Solteiro(a),19-25 anos,Processo Seletivo - SiSU,Formado,Parda,Fisica,Vagas destinadas aos candidatos deficientes,Fundamentos de Sistemas de Informacao,Aprovado,8-10,0-5%,Nao Possuia
Solteiro(a),19-25 anos,Processo Seletivo - SiSU,Formado,Parda,Fisica,Vagas destinadas aos candidatos deficientes,Marketing,Aprovado,8-10,20-25%,Nao Possuia
